,0
813,0
814,0
815,0
816,0
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,1
825,0
826,0
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,1
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,1
848,0
849,0
850,0
851,0
852,0
853,0
854,1
855,0
856,0
857,1
858,1
859,0
860,1
861,1
862,0
863,0
864,0
865,1
866,0
867,1
868,0
869,1
870,1
871,1
872,0
873,1
874,1
875,1
876,0
877,1
878,1
879,0
880,1
881,1
882,0
883,0
884,0
885,0
886,1
887,0
888,0
889,1
890,0
891,1
892,1
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,0
904,0
905,1
906,0
907,1
908,0
909,0
910,1
911,1
912,1
913,0
914,0
915,1
916,1
917,1
918,1
919,0
920,1
921,0
922,0
923,1
924,1
925,1
926,0
927,1
928,0
929,0
930,0
931,1
932,0
933,1
934,0
935,1
936,1
937,1
938,1
939,1
940,1
941,0
942,0
943,0
944,1
945,1
946,0
947,1
948,1
949,1
950,0
951,1
952,1
953,1
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,1
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,1
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,1
982,0
983,0
984,0
985,0
986,1
987,0
988,0
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,1
1006,1
1007,1
1008,0
1009,0
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,0
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,0
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,0
1050,0
1051,1
1052,0
1053,1
1054,0
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,1
1073,1
1074,0
1075,1
1076,1
1077,0
1078,1
1079,0
